logFC	AveExpr	t	P.Value	adj.P.Val	B
DLG4	-1.84124761904761	11.0873782608696	-10.9105905548164	5.82502509428095e-14	4.66002007542476e-11	21.6118157969125
GRIN2B	-3.49325	7.66949347826087	-9.53069856680536	3.67918432064809e-12	1.01399970041475e-09	17.5996781130088
KIT	-5.62481952380952	7.39039782608696	-9.52003651231134	3.8024988765553e-12	1.01399970041475e-09	17.5676772296901
TLR2	4.07844071428572	5.9738847826087	8.61631826666404	6.52982127805296e-11	1.30596425561059e-08	14.8033759589737
CDKN1A	4.53591119047619	7.58259565217391	8.51010884994812	9.17610322610265e-11	1.46817651617642e-08	14.4721149562998
CASP6	2.712005	6.63796086956522	8.41501761661699	1.24562546794761e-10	1.48063838759741e-08	14.1744730743871
SOCS3	5.50401880952381	6.2939	8.35078247891053	1.5320671129589e-10	1.48063838759741e-08	13.972859887071
SERPINA3	9.00037190476191	8.11515217391304	8.34629617790955	1.55439984036381e-10	1.48063838759741e-08	13.9587624368113
OSMR	3.32883190476191	7.18498913043478	8.32486274762948	1.66571818604709e-10	1.48063838759741e-08	13.8913821452818
ATP5G	-1.95098619047618	10.3359304347826	-8.26483175915843	2.02228082180575e-10	1.6178246574446e-08	13.7024067023675
PPP3CA	-2.38020833333333	11.1690565217391	-8.1701639539392	2.74790439350005e-10	1.99847592254549e-08	13.4036427616471
MYD88	1.56951071428571	6.79948260869565	7.9711342675449	5.25016282130631e-10	3.46319774182343e-08	12.7726304496527
TNFRSF1A	3.18334333333333	8.19551739130435	7.94985339385745	5.62769633046308e-10	3.46319774182343e-08	12.7049374677354
NFKB2	3.12160452380952	5.97003695652174	7.90789371818337	6.45423665365423e-10	3.68813523065956e-08	12.571344637866
TNFSF13B	3.43006857142857	6.43325652173913	7.85573328513813	7.65458706338265e-10	4.08244643380408e-08	12.4050521673371
EOMES	-1.44846666666666	5.0610652173913	-7.79777747668159	9.25441877895724e-10	4.46042065349592e-08	12.2200012249442
CALCOCO2	1.39073738095238	9.02380652173913	7.79048141393554	9.47839388867884e-10	4.46042065349592e-08	12.1966844650242
GUSB	1.67378238095239	8.66164130434783	7.66079550084485	1.45096257835919e-09	6.29196509045616e-08	11.7814868887803
DNA2	2.38273595238095	7.31164782608696	7.65183856125273	1.49434170898334e-09	6.29196509045616e-08	11.7527597538634
C1QA	4.26056095238095	6.47542173913043	7.60180545189051	1.76183572168546e-09	7.04734288674183e-08	11.5921741911425
SPP1	5.26107166666667	10.2251934782609	7.55390531613301	2.06305442240278e-09	7.60485698818146e-08	11.4382525831342
C4A	4.23027	8.19393913043478	7.54977567881685	2.0913356717499e-09	7.60485698818146e-08	11.4249742995902
PACSIN1	-1.14941904761904	11.9224782608696	-7.52658599668892	2.2575552638255e-09	7.85236613504522e-08	11.3503873485267
RAB6B	-1.67700928571429	11.1335760869565	-7.49165754272393	2.53337252433308e-09	8.44457508111027e-08	11.2379690491838
IKBKB	2.64674619047619	7.67334347826087	7.4654523131218	2.76237454026404e-09	8.83959852884493e-08	11.1535686713835
MDM2	1.65692738095238	8.58058913043478	7.44763976159957	2.92982360398927e-09	9.01367344228011e-08	11.0961710751544
C3AR1	3.53364642857143	6.08465652173913	7.43625971539651	3.04211478676954e-09	9.01367344228011e-08	11.0594893490845
PRKAR1A	-1.90061666666666	11.1046565217391	-7.38207407869909	3.63917930141249e-09	1.03976551468928e-07	10.8847084899162
ASH2L	-1.48211547619048	9.33420869565217	-7.36416179048339	3.86144930077645e-09	1.05203518697926e-07	10.8268871933445
IFITM3	3.41244690476191	10.4914608695652	7.35768552432238	3.94513195117223e-09	1.05203518697926e-07	10.8059764342151
TGFB1	3.72174023809524	7.85115217391304	7.33044914246932	4.31751255837401e-09	1.05783475767977e-07	10.7180048917483
CAMK4	-1.9993780952381	9.8711	-7.32601203020665	4.38144316646134e-09	1.05783475767977e-07	10.7036688096672
MAPK10	-1.57069047619048	11.0767782608696	-7.31456339665544	4.55083026583575e-09	1.05783475767977e-07	10.6666730687563
P2RX7	2.61808547619048	8.54056956521739	7.30342870696449	4.72189017030435e-09	1.05783475767977e-07	10.6306838741003
ESAM	1.74516095238095	7.87037826086957	7.30319612272011	4.72553144600865e-09	1.05783475767977e-07	10.6299320395674
RTN4RL1	-1.26845857142857	7.4597152173913	-7.30098710038649	4.76025640955896e-09	1.05783475767977e-07	10.6227911495026
SUV39H2	1.15952166666667	8.23007391304348	7.2827370077239	5.05713876595418e-09	1.08493246721213e-07	10.5637842517627
RALB	-1.67757357142857	9.68283913043478	-7.27704858782039	5.15342921925760e-09	1.08493246721213e-07	10.5453880325986
XPNPEP1	-1.0132069047619	8.75922608695652	-7.23350764209082	5.95422310977421e-09	1.22137909944086e-07	10.4045127909845
PRNP	-1.25860238095236	13.3622608695652	-7.20839139417862	6.47191056352271e-09	1.29438211270454e-07	10.3231990671161
MAN2B1	1.97807666666667	6.86322608695652	7.17418323335888	7.25058135315058e-09	1.41474758110255e-07	10.2123923081095
HMOX1	3.91781714285715	6.25522391304348	7.13370806993863	8.29449872183325e-09	1.57990451844443e-07	10.0812020053351
TCIRG1	3.52471642857143	6.73909782608696	7.11226041097976	8.90761426031773e-09	1.65723056005911e-07	10.0116492279023
RELN	-2.2599819047619	10.3750108695652	-7.08640783587348	9.7075124904812e-09	1.76500227099658e-07	9.92778012561869
HSPB1	4.20461428571429	9.05443478260869	7.06529460908652	1.04140463198764e-08	1.85138601242247e-07	9.85926114624962
