CJD.FC_vs_CT.FC	AveExpr	F	P.Value	adj.P.Val
NRGN	-1.08315714285714	9.51913043478261	711.502887125616	1.77165213319679e-36	7.08660853278714e-34
DLX1	-1.29735	6.01054130434783	382.99459903962	6.86407604795546e-31	6.86407604795546e-29
RELN	-1.88489857142857	10.3750108695652	269.383831001063	9.10078196741735e-28	5.60048121071837e-26
GRIN2B	-1.45161	7.66949347826087	161.524799906674	2.46519056130112e-23	1.09564024946717e-21
RAB6B	-1.10031428571429	11.1335760869565	110.584676292198	3.62720979731958e-20	8.53461128781077e-19
CAMK4	-1.31601142857143	9.8711	87.4325717369538	2.86314241069402e-18	4.49120378148082e-17
VIM	1.12095714285715	10.2319913043478	77.7465782039693	2.41070135046134e-17	3.38344049187556e-16
PRKAR2B	-1.04631428571428	9.49656304347826	75.6757501778223	3.91316552226757e-17	5.13202035707223e-16
RALB	-1.05069857142857	9.68283913043478	71.9283930606757	9.67824632545182e-17	1.20978079068148e-15
CNTNAP2	-1.19474285714286	8.8655347826087	65.9340923826975	4.48432237358289e-16	5.27567338068576e-15
PILRA	1.11721714285714	7.80217391304348	65.2486138098366	5.3824468613455e-16	6.24051810011072e-15
MERTK	1.09600428571428	8.62954347826087	56.9502009850188	5.60602714106885e-15	5.46929477177449e-14
HIST1H1D	1.20710285714286	8.01502608695652	50.2062360551601	4.64072533568095e-14	3.82740233870593e-13
NWD1	1.01577142857143	6.22851304347826	49.9424532503154	5.06290291757979e-14	4.09123468087255e-13
ESAM	1.00189428571428	7.87037826086957	49.2371499591537	6.40130071981145e-14	5.12104057584916e-13
SLC17A6	-2.86344428571428	5.59459565217391	48.337449170412	8.66674203410996e-14	6.66672464162304e-13
MAL	1.02369428571429	7.57432826086957	47.2639333658569	1.25124428198291e-13	9.18344427143423e-13
CLIC4	1.11230428571429	9.22021086956522	44.7559447769045	3.02664280457672e-13	2.12395986286086e-12
RAPGEF3	1.44049857142858	7.5882847826087	44.6224699748148	3.17561427593779e-13	2.20912297456542e-12
NEFL	-2.15342857142857	10.6047869565217	44.5792926834862	3.22543159992074e-13	2.22443558615223e-12
MYD88	1.24205571428571	6.79948260869565	44.4282218266689	3.4062704985454e-13	2.32907384515924e-12
ATP5G	-1.02939285714285	10.3359304347826	42.4902085113238	6.94513967917674e-13	4.55418995355852e-12
PADI2	1.43296714285714	6.93938260869565	42.3026696677506	7.45031973331417e-13	4.84573641191165e-12
NQO1	1.72265714285714	8.22292826086957	41.463330464787	1.02303485962561e-12	6.29559913615758e-12
