CJD.CB_vs_CJD.FC	AveExpr	F	P.Value	adj.P.Val
TBR1	5.91663333333333	7.4963	2201.55906647607	7.85390570921233e-47	6.28312456736986e-44
NRGN	8.46537619047618	9.51913043478261	711.502887125616	1.77165213319679e-36	7.08660853278714e-34
TSPAN18	-3.87122261904762	6.34739347826087	591.186555266173	8.49842330530974e-35	2.26624621474927e-32
FGF13	4.12497857142857	6.69317608695652	540.743080325002	5.44558526511325e-34	1.08911705302265e-31
IRF6	-3.91420833333334	6.36594782608696	501.738659070874	2.58078825366425e-33	4.12926120586281e-31
TP73	-2.49781666666667	5.45997608695652	404.612238497559	2.21472065125025e-31	2.95296086833366e-29
LINGO1	2.80619523809524	9.02363695652174	386.368446435673	5.73029815012159e-31	6.54891217156753e-29
DLX1	2.69599999999999	6.01054130434783	382.99459903962	6.86407604795546e-31	6.86407604795546e-29
MEF2C	3.40048690476191	10.0023326086957	306.362096384306	6.65707821797628e-29	5.91740286042336e-27
ETS2	1.94178571428571	10.0635413043478	301.012541621792	9.53325302003532e-29	7.62660241602826e-27
CHN2	-2.744	10.001797826087	282.857586114564	3.38033154563712e-28	2.45842294228154e-26
PIK3R1	2.13616428571429	11.3092652173913	276.22964362111	5.47079830650653e-28	3.64719887100436e-26
RELN	-4.90514523809525	10.3750108695652	269.383831001063	9.10078196741735e-28	5.60048121071837e-26
CX3CL1	3.07824880952381	8.38988260869565	241.297397258095	8.4216269106795e-27	4.812358234674e-25
KDM4C	-1.97370952380953	9.3310652173913	231.674902576849	1.91003622147744e-26	1.01868598478797e-24
DAPK1	2.60232976190476	7.83275434782609	202.278362890746	2.88739242416292e-25	1.44369621208146e-23
E2F1	2.27636547619047	5.59443695652174	189.032676205198	1.10982355440261e-24	5.22269907954168e-23
GRIN2B	3.91649999999999	7.66949347826087	161.524799906674	2.46519056130112e-23	1.09564024946717e-21
SERPINF1	4.10054880952381	8.01644347826087	160.191165283137	2.89986645943521e-23	1.22099640397272e-21
IL1RAP	2.40986785714286	7.13732608695652	155.634915746522	5.09864849765334e-23	2.03945939906134e-21
PPFIA4	-1.79118333333333	9.40977391304348	151.416040992866	8.71575797737825e-23	3.32028875328695e-21
RTN4RL1	1.80332142857143	7.4597152173913	146.66543666595	1.62066146098545e-22	5.63708334255809e-21
ADAMTS16	-3.72285476190476	6.54851304347826	146.188785378833	1.72646573171665e-22	5.75488577238883e-21
ISLR2	2.97919523809524	6.0880152173913	139.513845511756	4.27144044655015e-22	1.36686094289605e-20
CCNG2	-1.48163095238095	10.3317565217391	133.245917429344	1.0371252262423e-21	3.19115454228399e-20
FSCN1	2.6476869047619	8.97695434782609	119.889684476444	7.84053814879317e-21	2.16290707552915e-19
SUV39H2	-1.45139166666667	8.23007391304348	113.040080529081	2.39524557979244e-20	6.38732154611317e-19
PACSIN1	1.24954761904762	11.9224782608696	112.611240149244	2.57380159230768e-20	6.64206862531015e-19
BCL2L2	1.22813928571428	9.71944782608696	110.785391324408	3.50516504056973e-20	8.53461128781077e-19
LDLRAD3	-1.45542142857143	8.42242173913044	110.655616723955	3.58357396335159e-20	8.53461128781077e-19
RAB6B	1.62626071428571	11.1335760869565	110.584676292198	3.62720979731958e-20	8.53461128781077e-19
ARHGAP24	2.39306547619047	5.80975217391304	107.267915721503	6.43739711927253e-20	1.44310687076409e-18
PLD1	2.21109047619048	5.85262391304348	107.218003304607	6.49398091843841e-20	1.44310687076409e-18
DLX2	1.84098571428571	5.38884782608696	100.185505065201	2.31314805346191e-19	5.0014011966744e-18
LMNB1	-1.92504523809524	8.80481739130435	99.0939379383148	2.8369635589674e-19	5.97255486098401e-18
DUSP7	1.610925	8.67094565217391	98.4531020385308	3.20107360146127e-19	6.40214720292254e-18
FANCC	-2.43557142857143	5.81220869565217	96.1468351306677	4.97182705462756e-19	9.7011259602489e-18
MAPT	1.15903571428571	11.7335652173913	95.8908362092015	5.22380179778272e-19	9.95009866244328e-18
NRP2	2.02457738095238	7.04055	94.058155037688	7.46726730548418e-19	1.38925903357845e-17
ARC	3.06097261904762	6.59151086956522	92.6729588607839	9.82185182900392e-19	1.74610699182292e-17
MAPK10	1.42457619047618	11.0767782608696	91.2967507117664	1.29414739453984e-18	2.25069112093885e-17
GRM2	2.71026547619047	6.93594347826087	89.6874131473315	1.79496476849462e-18	3.05525918041637e-17
APC	1.00581785714285	10.3548413043478	89.2902520685159	1.94739632135423e-18	3.24566053559038e-17
SALL1	2.35869880952381	6.20235434782609	88.4321818541516	2.32486066601018e-18	3.71977706561629e-17
CAMK4	-2.16560476190476	9.8711	87.4325717369538	2.86314241069402e-18	4.49120378148082e-17
PRKCQ	1.78630357142856	5.37593913043478	85.5244814922844	4.28523592317717e-18	6.59267065104181e-17
PIK3R2	1.82663214285714	9.45503043478261	85.1494478262341	4.64289299730905e-18	7.00814037329668e-17
MFGE8	1.61549642857142	8.79049565217391	84.2883366225239	5.58755888334044e-18	8.27786501235621e-17
