Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	37	11.526479750778815	6.088632464908552E-19	CDKN1A, HDAC2, CD40, HDAC1, TRADD, PIK3CD, PIK3R2, RELA, RELB, IKBKB, CASP8, MYC, BLNK, PLCG2, BAK1, IKBKE, SYK, CHUK, STAT1, DDB2, NFKB2, HLA-E, MAPK10, NFKBIA, MAVS, OAS1, IRF7, BCL2, MDM2, FAS, CYCS, VIM, TP53, MAP3K14, CD44, MYD88, TLR2	252	202	8586	6.240806223479491	1.6621966629200347E-16	1.6621966629200347E-16	9.315607671310085E-17
KEGG_PATHWAY	hsa04210:Apoptosis	30	9.345794392523365	1.2571503624434058E-17	TRADD, XIAP, PIK3CD, PIK3R2, RELA, CTSS, LMNB1, BBC3, IKBKB, CASP7, CASP8, CASP6, LMNA, BAK1, MAP2K1, CHUK, TNFRSF10B, TRAF1, EIF2S1, TNFRSF1A, MAPK10, NFKBIA, BCL2, BIRC5, FAS, CYCS, ATM, TP53, MAP3K14, BCL2L1	252	136	8586	7.515756302521009	3.432020489470498E-15	1.716010244735249E-15	9.617200272692055E-16
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	29	9.034267912772584	1.0158967082285701E-16	CSF1R, CSF1, PIK3CD, TREM2, PIK3R2, TNFRSF11B, RELA, RELB, IKBKB, PPP3CA, SOCS3, FCGR3A, BLNK, PLCG2, FCGR1A, MAP2K1, TGFB1, SYK, CHUK, IL1R1, STAT1, LILRB4, TNFRSF1A, NFKB2, MAPK10, NFKBIA, TYROBP, CAMK4, MAP3K14	252	135	8586	7.319047619047619	3.0309088572266774E-14	8.088657355847194E-15	4.533203573057218E-15
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	26	8.09968847352025	1.1851512609299917E-16	CD40, TRADD, XIAP, RELA, RELB, TNFSF13B, IKBKB, CCL4, BLNK, PLCG2, CD14, SYK, CHUK, IL1R1, TRAF1, TNFRSF1A, NFKB2, NFKBIA, LTA, BCL2, ATM, LTBR, TLR4, MAP3K14, MYD88, BCL2L1	252	104	8586	8.517857142857142	3.0309088572266774E-14	8.088657355847194E-15	4.533203573057218E-15
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	33	10.2803738317757	1.5285943068735825E-14	CD40, PIK3CD, PIK3R2, RELA, IKBKB, PPP3CA, CASP7, CASP8, CASP6, CASP1, CCL3, CCL2, CD14, IKBKE, CHUK, CYBB, TNFRSF10B, SOD2, EIF2S1, RHOA, VAV1, TNFRSF1A, MAPK10, NFKBIA, IRF7, BCL2, FAS, CYCS, TP53, TLR4, MYD88, BCL2L1, TLR2	252	215	8586	5.229568106312293	4.182654222972815E-12	7.771974739987861E-13	4.355722107026164E-13
KEGG_PATHWAY	hsa05162:Measles	27	8.411214953271028	1.7081263164808487E-14	TRADD, PIK3CD, PIK3R2, RELA, BBC3, IKBKB, CASP8, BAK1, IKBKE, CHUK, STAT1, MSN, EIF2S1, MAPK10, NFKBIA, MAVS, OAS1, IRF7, BCL2, TLR9, FAS, CYCS, TP53, TLR4, MYD88, BCL2L1, TLR2	252	138	8586	6.666149068322981	4.667599640129083E-12	7.771974739987861E-13	4.355722107026164E-13
KEGG_PATHWAY	hsa04668:TNF signaling pathway	24	7.476635514018691	1.3005281323659216E-13	MAP2K1, JAG1, CHUK, CSF1, TRADD, XIAP, PIK3CD, PIK3R2, TRAF1, TNFRSF1B, CX3CL1, RELA, TNFRSF1A, MAPK10, NFKBIA, IKBKB, SOCS3, CASP7, CASP8, IRF1, LTA, FAS, CCL2, MAP3K14	252	114	8586	7.172932330827067	3.549194271812439E-11	5.0720597162270944E-12	2.8425829178855143E-12
KEGG_PATHWAY	hsa05152:Tuberculosis	29	9.034267912772584	2.473818356531209E-13	ITGAM, TRADD, TCIRG1, RELA, CTSS, C3, PPP3CA, FCGR3A, CASP8, ITGAX, CD14, FCGR1A, CD74, CREBBP, TGFB1, FCER1G, SYK, IL10RB, STAT1, RHOA, TNFRSF1A, MAPK10, BCL2, TLR9, CYCS, TLR4, MYD88, RAB7A, TLR2	252	180	8586	5.489285714285714	6.752864933901037E-11	8.441905141662751E-12	4.7311776068659374E-12
KEGG_PATHWAY	hsa05164:Influenza A	28	8.722741433021806	4.69706247136752E-13	CALCOCO2, TRADD, PIK3CD, PIK3R2, RELA, IKBKB, SOCS3, CASP8, CASP1, CCL2, BAK1, IKBKE, MAP2K1, CREBBP, RSAD2, CHUK, STAT1, TNFRSF10B, EIF2S1, TNFRSF1A, NFKBIA, MAVS, OAS1, IRF7, FAS, CYCS, TLR4, MYD88	252	171	8586	5.578947368421052	1.2823775374926072E-10	1.4247756163148142E-11	7.985006201324784E-12
KEGG_PATHWAY	hsa04625:C-type lectin receptor signaling pathway	22	6.853582554517133	1.551446657439403E-12	FCER1G, SYK, CHUK, STAT1, PIK3CD, PIK3R2, RHOA, RELA, RELB, NFKB2, MAPK10, NFKBIA, IKBKB, PPP3CA, PAK1, CASP8, IRF1, MDM2, CASP1, PLCG2, IKBKE, MAP3K14	252	104	8586	7.207417582417582	4.235392037088559E-10	4.2354493748095706E-11	2.373713385882287E-11
KEGG_PATHWAY	hsa05200:Pathways in cancer	48	14.953271028037381	4.0145952965984E-12	CSF1R, CDKN1A, HDAC2, RALB, CSF3R, HDAC1, PTEN, XIAP, PIK3CD, PIK3R2, RELA, IGF1R, PLD2, BBC3, IKBKB, CASP7, CASP8, MYC, PLCG2, RAC2, HMOX1, ITGAV, BAK1, IL6R, PRKACB, NQO1, MAP2K1, CREBBP, TGFB1, JAG1, CHUK, DAPK1, STAT1, TRAF1, IGF1, RHOA, DDB2, NFKB2, MAPK10, NFKBIA, KIT, BCL2, MDM2, BIRC5, FAS, CYCS, TP53, BCL2L1	252	531	8586	3.0799031476997576	1.0959766427731665E-9	9.963495599739664E-11	5.583937094359592E-11
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	31	9.657320872274143	4.6199880328359915E-12	C1QB, C1QA, C5AR1, PIK3CD, PIK3R2, RPL9, RELA, C3, IKBKB, C4A, RPL36AL, CASP1, C3AR1, PLCG2, CCL2, IKBKE, IL6R, RPS10, SYK, CHUK, STAT1, CYBB, TNFRSF1A, MAPK10, NFKBIA, MAVS, OAS1, TLR4, MYD88, C1QC, TLR2	252	232	8586	4.552647783251231	1.2612521027577372E-9	1.0510472774701881E-10	5.890484741865889E-11
KEGG_PATHWAY	hsa05161:Hepatitis B	26	8.09968847352025	6.12788725942387E-12	CDKN1A, PIK3CD, PIK3R2, RELA, IKBKB, CASP8, MYC, IKBKE, MAP2K1, CREBBP, TGFB1, CHUK, STAT1, DDB2, MAPK10, NFKBIA, MAVS, IRF7, BCL2, BIRC5, FAS, CYCS, TP53, TLR4, MYD88, TLR2	252	162	8586	5.468253968253968	1.6729101437462646E-9	1.2868563244790128E-10	7.212051928398863E-11
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	30	9.345794392523365	8.350053126724033E-12	CDKN1A, CD40, ANAPC15, PTEN, XIAP, PIK3CD, PIK3R2, RELA, RELB, IKBKB, PPP3CA, MYC, PRKACB, MAP2K1, CREBBP, TGFB1, CHUK, IL1R1, TNFRSF1A, NFKB2, HLA-E, MAPK10, NFKBIA, KAT2A, LTA, ATM, LTBR, TP53, MAP3K14, BCL2L1	252	222	8586	4.604247104247104	2.2795768606087563E-9	1.6282603597111863E-10	9.12541520277698E-11
KEGG_PATHWAY	hsa05142:Chagas disease	21	6.5420560747663545	9.573448533335806E-12	C1QB, C1QA, TGFB1, CHUK, PIK3CD, PIK3R2, RELA, TNFRSF1A, MAPK10, C3, NFKBIA, IKBKB, CASP8, CCL3, TLR9, FAS, CCL2, TLR4, MYD88, C1QC, TLR2	252	102	8586	7.014705882352941	2.613552707586564E-9	1.7423676330671165E-10	9.764917504002522E-11
KEGG_PATHWAY	hsa05167:Kaposi sarcoma-associated herpesvirus infection	28	8.722741433021806	1.0242901523340587E-11	CDKN1A, TRADD, PIK3CD, PIK3R2, RELA, PIK3R5, C3, IKBKB, PPP3CA, CASP8, MYC, PLCG2, BAK1, IKBKE, ATG3, MAP2K1, CREBBP, SYK, CHUK, STAT1, TNFRSF1A, HLA-E, MAPK10, NFKBIA, IRF7, FAS, CYCS, TP53	252	194	8586	4.917525773195876	2.7963165116773325E-9	1.7476950724199876E-10	9.794774581694436E-11
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	30	9.345794392523365	1.1712641154279002E-11	CDKN1A, TRADD, PIK3CD, PIK3R2, RELA, CX3CL1, IKBKB, PPP3CA, CASP8, MYC, CCL4, CCL3, RAC2, CCL2, ITGAV, BAK1, IL6R, PRKACB, MAP2K1, CHUK, IL10RB, IL1R1, RHOA, TNFRSF1A, HLA-E, NFKBIA, MDM2, FAS, CYCS, TP53	252	225	8586	4.542857142857143	3.197548226197E-9	1.880912373598922E-10	1.0541377038851102E-10
KEGG_PATHWAY	hsa05160:Hepatitis C	25	7.78816199376947	2.3476561528043796E-11	CDKN1A, TRADD, PIK3CD, PIK3R2, RELA, IKBKB, SOCS3, CASP8, MYC, BAK1, IKBKE, MAP2K1, RSAD2, CHUK, STAT1, EIF2S1, TNFRSF1A, NFKBIA, CLDN5, MAVS, OAS1, IRF7, FAS, CYCS, TP53	252	158	8586	5.3910488245931285	6.409099251314387E-9	3.560611831753309E-10	1.9955077298837227E-10
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	21	6.5420560747663545	2.890072565900137E-11	MAP2K1, CD40, CHUK, STAT1, PIK3CD, PIK3R2, RELA, MAPK10, NFKBIA, IKBKB, CASP8, CCL4, SPP1, CCL3, IRF7, TLR9, CD14, IKBKE, TLR4, MYD88, TLR2	252	108	8586	6.624999999999999	7.889910391689625E-9	4.1525779499512493E-10	2.327268960961689E-10
KEGG_PATHWAY	hsa04215:Apoptosis - multiple species	13	4.049844236760125	4.03048395397102E-11	NGFR, XIAP, BBC3, TNFRSF1A, MAPK10, CASP7, CASP8, BCL2, BIRC5, CYCS, BAK1, BCL2L1, BOK	252	32	8586	13.841517857142856	1.1003229549721993E-8	5.501610597170442E-10	3.0833202247878305E-10
KEGG_PATHWAY	hsa05132:Salmonella infection	30	9.345794392523365	1.445162857451376E-10	TRADD, PIK3CD, RELA, IKBKB, PAK1, CASP7, CASP8, TUBB3, MYC, CASP4, CASP1, BAK1, CD14, S100A10, MAP2K1, CHUK, TNFRSF10B, TUBB4A, RHOA, TNFRSF1A, MAPK10, NFKBIA, PTPRC, BCL2, TLR9, CYCS, TLR4, MYD88, RAB7A, TLR2	252	249	8586	4.10499139414802	3.94529457992121E-8	1.8787117146867888E-9	1.0529043675717168E-9
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	17	5.29595015576324	3.9921129399978126E-10	CDKN1A, MAP2K1, HDAC2, TGFB1, CHUK, HDAC1, PIK3CD, PIK3R2, RELA, DDB2, NFKBIA, IKBKB, MYC, MDM2, BAK1, TP53, BCL2L1	252	76	8586	7.621240601503759	1.089846873858491E-7	4.541028469247512E-9	2.5449719992486056E-9
KEGG_PATHWAY	hsa05133:Pertussis	17	5.29595015576324	3.9921129399978126E-10	C1QB, C1QA, ITGAM, RHOA, RELA, MAPK10, C3, C4A, CASP7, IRF1, CASP1, IRF8, SERPING1, CD14, TLR4, MYD88, C1QC	252	76	8586	7.621240601503759	1.089846873858491E-7	4.541028469247512E-9	2.5449719992486056E-9
KEGG_PATHWAY	hsa05212:Pancreatic cancer	17	5.29595015576324	3.9921129399978126E-10	CDKN1A, MAP2K1, TGFB1, RALB, CHUK, STAT1, PIK3CD, PIK3R2, RELA, DDB2, PLD2, MAPK10, IKBKB, RAC2, BAK1, TP53, BCL2L1	252	76	8586	7.621240601503759	1.089846873858491E-7	4.541028469247512E-9	2.5449719992486056E-9
KEGG_PATHWAY	hsa05222:Small cell lung cancer	18	5.607476635514018	9.62804655438863E-10	CDKN1A, CHUK, PTEN, XIAP, PIK3CD, PIK3R2, TRAF1, RELA, DDB2, NFKBIA, IKBKB, MYC, BCL2, CYCS, ITGAV, BAK1, TP53, BCL2L1	252	92	8586	6.666149068322981	2.628456251541067E-7	1.0513826837392384E-8	5.892364491285841E-9
KEGG_PATHWAY	hsa05170:Human immunodeficiency virus 1 infection	26	8.09968847352025	2.246479934424862E-9	TRADD, PIK3CD, PIK3R2, RELA, IKBKB, PPP3CA, PAK1, CASP8, PLCG2, RAC2, BAK1, MAP2K1, CHUK, TNFRSF1B, TNFRSF1A, HLA-E, MAPK10, NFKBIA, BCL2, FAS, CYCS, ATM, TLR4, MYD88, BCL2L1, TLR2	252	212	8586	4.178571428571429	6.132888228371769E-7	2.358803931146105E-8	1.3219670383346303E-8
KEGG_PATHWAY	hsa05131:Shigellosis	28	8.722741433021806	2.6885596078179743E-9	CALCOCO2, TRADD, PIK3CD, PIK3R2, RELA, C3, IKBKB, CASP4, CASP1, PLCG2, CD14, ATG5, CHUK, IL1R1, BNIP3, RHOA, TNFRSF1A, MAPK10, NFKBIA, BCL2, MDM2, CYCS, ATM, TP53, TLR4, CD44, MYD88, BCL2L1	252	247	8586	3.8623481781376516	7.339765016878275E-7	2.613664065703116E-8	1.4648007401193286E-8
KEGG_PATHWAY	hsa05210:Colorectal cancer	17	5.29595015576324	2.743027664570377E-9	CDKN1A, MAP2K1, TGFB1, RALB, PIK3CD, PIK3R2, RHOA, BBC3, DDB2, MAPK10, MYC, BCL2, RAC2, BIRC5, CYCS, BAK1, TP53	252	86	8586	6.735049833887043	7.488462810956165E-7	2.613664065703116E-8	1.4648007401193286E-8
KEGG_PATHWAY	hsa05145:Toxoplasmosis	19	5.919003115264798	2.7764197034941525E-9	CD40, TGFB1, CHUK, IL10RB, STAT1, XIAP, RELA, PIK3R5, TNFRSF1A, MAPK10, NFKBIA, IKBKB, CASP8, BCL2, CYCS, TLR4, MYD88, BCL2L1, TLR2	252	111	8586	5.832046332046332	7.579622781639372E-7	2.613664065703116E-8	1.4648007401193286E-8
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	31	9.657320872274143	3.0594992031319632E-9	CSF1R, FLT1, CSF1, TRADD, HSPB1, RELA, RELB, IGF1R, IKBKB, PPP3CA, PAK1, MYC, RAC2, CD14, PRKACB, NGFR, MAP2K1, MEF2C, TGFB1, CHUK, IL1R1, BDNF, IGF1, TNFRSF1A, NFKB2, MAPK10, KIT, FAS, TP53, MAP3K14, MYD88	252	301	8586	3.509017560512577	8.352429367031178E-7	2.7841442748500863E-8	1.5603445935973012E-8
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	24	7.476635514018691	4.054263951401107E-9	CHUK, STAT1, CYBB, XIAP, RHOA, RELA, MAPK10, P2RX7, NFKBIA, IKBKB, MAVS, CASP8, OAS1, CASP4, CASP1, IRF7, BCL2, CCL2, GBP2, IKBKE, TLR4, MYD88, ATG5, BCL2L1	252	186	8586	4.3963133640553	1.1068134411207353E-6	3.5703679313951683E-8	2.0009754340786107E-8
KEGG_PATHWAY	hsa04936:Alcoholic liver disease	21	6.5420560747663545	4.542189480700551E-9	C1QB, C1QA, CHUK, TRADD, C5AR1, RELA, TNFRSF1A, MAPK10, C3, NFKBIA, IKBKB, C4A, CASP8, C3AR1, FAS, CD14, IKBKE, TLR4, MAP3K14, MYD88, C1QC	252	142	8586	5.038732394366197	1.2400169711046516E-6	3.875055400722657E-8	2.1717343454599508E-8
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	25	7.78816199376947	5.030398722829842E-9	CDKN1A, HDAC2, HDAC1, TRADD, PIK3CD, PIK3R2, RELA, HDAC6, C3, CASP8, BAK1, PRKACB, CREBBP, GSN, SYK, TRAF1, RHOA, NFKB2, HLA-E, NFKBIA, KAT2A, IRF7, MDM2, LTBR, TP53	252	204	8586	4.175420168067227	1.373297923157324E-6	4.1392553232037415E-8	2.3198024338834158E-8
KEGG_PATHWAY	hsa05134:Legionellosis	14	4.361370716510903	5.155116519740924E-9	ITGAM, BNIP3, RELA, NFKB2, C3, NFKBIA, CASP7, CASP8, CASP1, CYCS, CD14, TLR4, MYD88, TLR2	252	56	8586	8.517857142857142	1.4073458330932098E-6	4.1392553232037415E-8	2.3198024338834158E-8
KEGG_PATHWAY	hsa05165:Human papillomavirus infection	32	9.968847352024921	7.361723037913309E-9	ATP6V1A, CDKN1A, HDAC2, ITGB5, HDAC1, TRADD, PTEN, PIK3CD, PIK3R2, TCIRG1, RELA, IKBKB, LFNG, CASP8, RELN, SPP1, ITGAV, BAK1, IKBKE, PRKACB, MAP2K1, CREBBP, JAG1, CHUK, STAT1, TNFRSF1A, HLA-E, IRF1, MDM2, FAS, ATM, TP53	252	331	8586	3.2939145446698315	2.009748369280473E-6	5.742143969572381E-8	3.2181246422878176E-8
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	24	7.476635514018691	1.3633304485768078E-8	CHUK, IL1R1, TRADD, TNFRSF10B, TUBB4A, RHOA, RELA, TNFRSF1A, MAPK10, NFKBIA, IKBKB, CLDN5, PAK1, CASP7, CASP8, TUBB3, CASP4, CASP1, FAS, CYCS, PTPN6, BAK1, TLR4, MYD88	252	198	8586	4.12987012987013	3.721885223684218E-6	1.0338589235040792E-7	5.794154406451433E-8
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	18	5.607476635514018	1.4287170174108559E-8	CDKN1A, MAP2K1, CREBBP, FLT1, CYBB, PIK3CD, PIK3R2, IGF1, RELA, IGF1R, LDHA, BCL2, PLCG2, HMOX1, TIMP1, LTBR, IL6R, TLR4	252	109	8586	5.626474442988204	3.900389892619316E-6	1.0541614750085504E-7	5.907937936861107E-8
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	16	4.984423676012461	1.5675010151086246E-8	MAP2K1, SYK, CHUK, PIK3CD, PIK3R2, LILRB4, VAV1, RELA, NFKBIA, IKBKB, PPP3CA, INPP5D, BLNK, PLCG2, RAC2, PTPN6	252	84	8586	6.489795918367347	4.279268656204316E-6	1.1261257292754066E-7	6.311254087147882E-8
KEGG_PATHWAY	hsa01524:Platinum drug resistance	15	4.672897196261682	1.8405229168710062E-8	CDKN1A, XIAP, PIK3CD, PIK3R2, BBC3, CASP8, MDM2, BCL2, FAS, BIRC5, CYCS, ATM, BAK1, TP53, BCL2L1	252	73	8586	7.000978473581213	5.024614972204411E-6	1.2883660418097044E-7	7.22051298157087E-8
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	23	7.165109034267912	4.044943433520044E-8	NGFR, CSF1R, CDKN1A, MEF2C, HDAC2, CD40, ITGAM, FLT1, KMT2A, HDAC1, TRAF1, IGF1, RELA, DDB2, IGF1R, MYC, MDM2, ATM, CD14, BAK1, FCGR1A, TP53, BCL2L1	252	193	8586	4.060325684678016	1.1042634832647558E-5	2.76067389337743E-7	1.5471908633214167E-7
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	32	9.968847352024921	4.9455488699902807E-8	CSF1R, CDKN1A, FLT1, CSF3R, CSF1, ITGB5, PTEN, PIK3CD, PIK3R2, RELA, IGF1R, PIK3R5, IKBKB, RELN, MYC, SPP1, ITGAV, IL6R, NGFR, MAP2K1, SYK, CHUK, BDNF, IGF1, OSMR, KIT, BCL2, MDM2, TP53, TLR4, BCL2L1, TLR2	252	359	8586	3.0370075606844407	1.3501257607351214E-5	3.293011808554504E-7	1.8455340905085684E-7
KEGG_PATHWAY	hsa04014:Ras signaling pathway	25	7.78816199376947	8.782341074711023E-8	CSF1R, RALB, FLT1, CSF1, PIK3CD, PIK3R2, RELA, IGF1R, PLD2, IKBKB, PAK1, GRIN2A, PLCG2, RAC2, PRKACB, NGFR, MAP2K1, CHUK, BDNF, IGF1, GRIN2B, RHOA, MAPK10, KIT, BCL2L1	252	236	8586	3.6092615012106535	2.397550477495347E-5	5.708521698562165E-7	3.1992813915018726E-7
