Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR
1	GOTERM_BP_DIRECT	GO:0006954~inflammatory response	45	14.018691588785	1.69860259567453e-22	SERPINA3, CSF1R, CD40, CSF1, C5AR1, FPR1, PIK3CD, TCIRG1, HMGB1, AIF1, RELA, CX3CL1, RELB, C3, IKBKB, C4A, CASP4, CCL4, BLNK, CCL3, C3AR1, SPP1, CCL2, S1PR3, CD14, TGFB1, ANXA1, CHUK, IL10RB, IL1R1, CYBB, TNFRSF1B, TNFRSF1A, NFKB2, P2RX7, AXL, CAMK4, KIT, TLR9, CD47, SIGLEC1, TLR4, CD44, MYD88, TLR2	317	436	19462	6.33656990709924	5.74637258116694e-19	5.74637258116694e-19	5.33191354782235e-19
2	GOTERM_BP_DIRECT	GO:0006915~apoptotic process	48	14.9532710280374	7.61198568843353e-19	APP, RALB, KMT2A, TRADD, PTEN, TNFRSF11B, TCIRG1, CTSS, BBC3, PAK1, CASP7, CASP8, CASP6, INPP5D, CASP4, CASP1, BAK1, CD14, ATG5, BOK, SRGN, MEF2C, TNFRSF12A, DAPK1, BNIP3, TNFSF12, TNFRSF10B, EMP1, TRAF1, TNFRSF1A, NFKBIA, DAB2, IRF1, PMP22, LTA, BCL2, MDM2, BIRC5, FAS, CYCS, TNFRSF25, CD47, LTBR, TP53, MYD88, MCM2, BCL2L1, TLR2	317	620	19462	4.75310878192734	2.57513475839706e-15	1.28756737919853e-15	1.19470115379964e-15
3	GOTERM_BP_DIRECT	GO:0007165~signal transduction	66	20.5607476635514	3.49978377675638e-16	CSF3R, TRADD, PIK3CD, HMGB1, IGF1R, NRGN, TNFSF13B, HPGDS, CASP1, RAC2, SOX9, TIMP1, PRKACB, MAP2K1, ANXA1, DAPK1, TNFRSF1A, TYROBP, KIT, PECAM1, LTA, TNFRSF25, OPTN, RAPGEF3, TLR2, GRIA1, CSF1R, GRN, RALB, C5AR1, FPR1, PIK3R2, TNFRSF11B, C3, TTR, OLFML3, INPP5D, CCL4, SPP1, TP53BP2, CCL2, FCGR1A, CREBBP, IL10RB, STAT1, TIE1, TNFSF12, OSGIN1, TNFRSF10B, IGF1, NFKB2, MAPK10, MAVS, AXL, DLG4, CAMK4, PNOC, NOSTRIN, FAS, ATM, LTBR, GRAP, SIGLEC8, FGF13, ASB2, MYD88	317	1310	19462	3.09314903556722	1.12676534769207e-12	3.94658950558894e-13	3.66194042507942e-13
4	GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	21	6.54205607476635	6.72317787913428e-16	APP, CD84, HDAC2, TGFB1, SYK, CYBB, HSPB1, HMGB1, HLA-E, MAVS, FCGR3A, TYROBP, PTPRC, OAS1, CCL3, PLCG2, TLR9, CD14, TLR4, MYD88, TLR2	317	108	19462	11.9377847879425	2.25353069538414e-12	5.68612769127782e-13	5.27601384065062e-13
5	GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	40	12.4610591900312	6.03298270732479e-15	CSF1R, CDKN1A, HDAC2, HDAC1, OGG1, PTEN, XIAP, HSPB1, AIF1, RELA, CX3CL1, IGF1R, IKBKB, CLN3, SOCS3, EEF2K, BAG3, MYC, SOX9, TIMP1, ATG5, TGM2, NQO1, CD74, PRNP, ANXA1, DAPK1, BNIP3, IGF1, SOD2, SOX10, DAB2, AXL, BCL2, MDM2, BIRC5, FAS, TP53, CD44, BCL2L1	317	542	19462	4.5309462558348	2.02817762584573e-11	3.56612269407073e-12	3.30891490886432e-12
6	GOTERM_BP_DIRECT	GO:0071260~cellular response to mechanical stimulus	18	5.60747663551402	6.32478160343611e-15	CD40, TGFB1, BNIP3, TNFRSF10B, IGF1R, TNFRSF1A, CNN2, CASP8, BAG3, IRF1, CASP1, FAS, BAK1, SOX9, LTBR, TLR4, MAP3K14, MYD88	317	78	19462	14.167920407668	2.14085416061494e-11	3.56612269407073e-12	3.30891490886432e-12
7	GOTERM_BP_DIRECT	GO:0006955~immune response	38	11.8380062305296	2.77177316093767e-14	IFITM3, IGSF6, IFITM2, LST1, C5AR1, WAS, PIK3CD, PIK3R2, CRIP1, CX3CL1, CTSS, IGF1R, PIK3R5, TNFSF13B, C3, FCGR3A, CCL4, CCL3, CCL2, GBP2, FCGR1A, IKBKE, CD74, CHUK, IL10RB, IL1R1, TNFSF12, TNFRSF1B, VAV1, HLA-E, LTA, IRF8, FAS, LTBR, TLR4, MAP3K14, C1QC, TLR2	317	512	19462	4.55660981861199	9.38971123076726e-11	1.33955837192173e-11	1.24294227888334e-11
8	GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	38	11.8380062305296	4.23034272338071e-14	GRIA1, APP, CSF1, HDAC1, PIK3CD, TREM2, RELA, RELB, CNN2, PPP3CA, NWD1, MYC, LMNA, BLNK, CCL3, PLCG2, ITGAX, SOX9, CD74, MAP2K1, MEF2C, TGFB1, GSN, MSN, IGF1, SOX10, P2RX7, CLDN5, TYROBP, TMEM119, TLR9, MDM2, ATM, VIM, TP53, TLR4, MYD88, TLR2	317	519	19462	4.4951526534284	1.43099199156893e-10	1.78890617914962e-11	1.65988072608651e-11
9	GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	29	9.03426791277258	1.62521987945886e-12	APP, TRADD, HMGB1, BBC3, CASP7, GRIN2A, CASP8, CASP6, INPP5D, HMOX1, BAK1, SOX4, TGM2, BOK, TGFB1, TNFRSF12A, DAPK1, BNIP3, OSGIN1, TNFRSF10B, VAV1, BIN1, LTA, BCL2, IRF8, FAS, ATM, TP53, BCL2L1	317	337	19462	5.28319089385841	5.49823930828808e-09	6.10902094689925e-10	5.66840577957929e-10
10	GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	36	11.214953271028	4.3623871046921e-12	CSF1R, HDAC2, FLT1, CSF1, HDAC1, HILPDA, PTEN, ASH2L, TCIRG1, AIF1, RELA, CX3CL1, IGF1R, PAK1, MYC, ITGAX, RAC2, ITGAV, S1PR3, SOX9, TIMP1, IL6R, SOX4, TRPM4, TGFB1, IGF1, OSMR, ADRA2A, CLDN5, KIT, BCL2, MDM2, BIRC5, PTPN6, CD47, BCL2L1	317	545	19462	4.05540474054351	1.47579968245992e-08	1.47579555751734e-09	1.36935331216285e-09
