Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR
1	KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	37	11.5264797507788	6.08863246490855e-19	CDKN1A, HDAC2, CD40, HDAC1, TRADD, PIK3CD, PIK3R2, RELA, RELB, IKBKB, CASP8, MYC, BLNK, PLCG2, BAK1, IKBKE, SYK, CHUK, STAT1, DDB2, NFKB2, HLA-E, MAPK10, NFKBIA, MAVS, OAS1, IRF7, BCL2, MDM2, FAS, CYCS, VIM, TP53, MAP3K14, CD44, MYD88, TLR2	252	202	8586	6.24080622347949	1.66219666292003e-16	1.66219666292003e-16	9.31560767131009e-17
2	KEGG_PATHWAY	hsa04210:Apoptosis	30	9.34579439252336	1.25715036244341e-17	TRADD, XIAP, PIK3CD, PIK3R2, RELA, CTSS, LMNB1, BBC3, IKBKB, CASP7, CASP8, CASP6, LMNA, BAK1, MAP2K1, CHUK, TNFRSF10B, TRAF1, EIF2S1, TNFRSF1A, MAPK10, NFKBIA, BCL2, BIRC5, FAS, CYCS, ATM, TP53, MAP3K14, BCL2L1	252	136	8586	7.51575630252101	3.4320204894705e-15	1.71601024473525e-15	9.61720027269206e-16
3	KEGG_PATHWAY	hsa04380:Osteoclast differentiation	29	9.03426791277258	1.01589670822857e-16	CSF1R, CSF1, PIK3CD, TREM2, PIK3R2, TNFRSF11B, RELA, RELB, IKBKB, PPP3CA, SOCS3, FCGR3A, BLNK, PLCG2, FCGR1A, MAP2K1, TGFB1, SYK, CHUK, IL1R1, STAT1, LILRB4, TNFRSF1A, NFKB2, MAPK10, NFKBIA, TYROBP, CAMK4, MAP3K14	252	135	8586	7.31904761904762	3.03090885722668e-14	8.08865735584719e-15	4.53320357305722e-15
4	KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	26	8.09968847352025	1.18515126092999e-16	CD40, TRADD, XIAP, RELA, RELB, TNFSF13B, IKBKB, CCL4, BLNK, PLCG2, CD14, SYK, CHUK, IL1R1, TRAF1, TNFRSF1A, NFKB2, NFKBIA, LTA, BCL2, ATM, LTBR, TLR4, MAP3K14, MYD88, BCL2L1	252	104	8586	8.51785714285714	3.03090885722668e-14	8.08865735584719e-15	4.53320357305722e-15
5	KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	33	10.2803738317757	1.52859430687358e-14	CD40, PIK3CD, PIK3R2, RELA, IKBKB, PPP3CA, CASP7, CASP8, CASP6, CASP1, CCL3, CCL2, CD14, IKBKE, CHUK, CYBB, TNFRSF10B, SOD2, EIF2S1, RHOA, VAV1, TNFRSF1A, MAPK10, NFKBIA, IRF7, BCL2, FAS, CYCS, TP53, TLR4, MYD88, BCL2L1, TLR2	252	215	8586	5.22956810631229	4.18265422297281e-12	7.77197473998786e-13	4.35572210702616e-13
6	KEGG_PATHWAY	hsa05162:Measles	27	8.41121495327103	1.70812631648085e-14	TRADD, PIK3CD, PIK3R2, RELA, BBC3, IKBKB, CASP8, BAK1, IKBKE, CHUK, STAT1, MSN, EIF2S1, MAPK10, NFKBIA, MAVS, OAS1, IRF7, BCL2, TLR9, FAS, CYCS, TP53, TLR4, MYD88, BCL2L1, TLR2	252	138	8586	6.66614906832298	4.66759964012908e-12	7.77197473998786e-13	4.35572210702616e-13
7	KEGG_PATHWAY	hsa04668:TNF signaling pathway	24	7.47663551401869	1.30052813236592e-13	MAP2K1, JAG1, CHUK, CSF1, TRADD, XIAP, PIK3CD, PIK3R2, TRAF1, TNFRSF1B, CX3CL1, RELA, TNFRSF1A, MAPK10, NFKBIA, IKBKB, SOCS3, CASP7, CASP8, IRF1, LTA, FAS, CCL2, MAP3K14	252	114	8586	7.17293233082707	3.54919427181244e-11	5.07205971622709e-12	2.84258291788551e-12
8	KEGG_PATHWAY	hsa05152:Tuberculosis	29	9.03426791277258	2.47381835653121e-13	ITGAM, TRADD, TCIRG1, RELA, CTSS, C3, PPP3CA, FCGR3A, CASP8, ITGAX, CD14, FCGR1A, CD74, CREBBP, TGFB1, FCER1G, SYK, IL10RB, STAT1, RHOA, TNFRSF1A, MAPK10, BCL2, TLR9, CYCS, TLR4, MYD88, RAB7A, TLR2	252	180	8586	5.48928571428571	6.75286493390104e-11	8.44190514166275e-12	4.73117760686594e-12
9	KEGG_PATHWAY	hsa05164:Influenza A	28	8.72274143302181	4.69706247136752e-13	CALCOCO2, TRADD, PIK3CD, PIK3R2, RELA, IKBKB, SOCS3, CASP8, CASP1, CCL2, BAK1, IKBKE, MAP2K1, CREBBP, RSAD2, CHUK, STAT1, TNFRSF10B, EIF2S1, TNFRSF1A, NFKBIA, MAVS, OAS1, IRF7, FAS, CYCS, TLR4, MYD88	252	171	8586	5.57894736842105	1.28237753749261e-10	1.42477561631481e-11	7.98500620132478e-12
10	KEGG_PATHWAY	hsa04625:C-type lectin receptor signaling pathway	22	6.85358255451713	1.5514466574394e-12	FCER1G, SYK, CHUK, STAT1, PIK3CD, PIK3R2, RHOA, RELA, RELB, NFKB2, MAPK10, NFKBIA, IKBKB, PPP3CA, PAK1, CASP8, IRF1, MDM2, CASP1, PLCG2, IKBKE, MAP3K14	252	104	8586	7.20741758241758	4.23539203708856e-10	4.23544937480957e-11	2.37371338588229e-11
11	KEGG_PATHWAY	hsa05200:Pathways in cancer	48	14.9532710280374	4.0145952965984e-12	CSF1R, CDKN1A, HDAC2, RALB, CSF3R, HDAC1, PTEN, XIAP, PIK3CD, PIK3R2, RELA, IGF1R, PLD2, BBC3, IKBKB, CASP7, CASP8, MYC, PLCG2, RAC2, HMOX1, ITGAV, BAK1, IL6R, PRKACB, NQO1, MAP2K1, CREBBP, TGFB1, JAG1, CHUK, DAPK1, STAT1, TRAF1, IGF1, RHOA, DDB2, NFKB2, MAPK10, NFKBIA, KIT, BCL2, MDM2, BIRC5, FAS, CYCS, TP53, BCL2L1	252	531	8586	3.07990314769976	1.09597664277317e-09	9.96349559973966e-11	5.58393709435959e-11
