"ID_REF"	"GSM4869092"	"GSM4869093"	"GSM4869094"	"GSM4869095"	"GSM4869096"	"GSM4869097"	"GSM4869098"	"GSM4869099"	"GSM4869100"	"GSM4869101"	"GSM4869102"	"GSM4869103"	"GSM4869104"	"GSM4869105"	"GSM4869106"	"GSM4869107"	"GSM4869108"	"GSM4869109"	"GSM4869110"	"GSM4869111"	"GSM4869112"	"GSM4869113"	"GSM4869114"	"GSM4869115"	"GSM4869116"	"GSM4869117"	"GSM4869118"	"GSM4869119"	"GSM4869120"	"GSM4869121"	"GSM4869122"	"GSM4869123"	"GSM4869124"	"GSM4869125"	"GSM4869126"	"GSM4869127"	"GSM4869128"	"GSM4869129"	"GSM4869130"	"GSM4869131"	"GSM4869132"	"GSM4869133"	"GSM4869134"	"GSM4869135"	"GSM4869136"	"GSM4869137"	"GSM4869138"
"AARS"	11.722	10.761	11.262	11.376	10.996	10.736	10.841	10.87	10.893	10.926	12.133	11.539	10.89	11.026	11.975	11.506	11.263	11.374	12.153	11.546	10.797	10.873	12.096	11.306	10.801	11.308	11.987	11.28	11.017	11.545	10.803	11.276	10.83	11.193	11.033	11.284	11.342	11.697	11.181	11.247	10.816	10.79	11.886	11.386	10.964	11.507	11.865
"ABCC3"	4.5236	4.3219	4.7004	4.3219	4.3219	4.3219	5.6439	4.3219	4.3923	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	6.0875	4.9542	4.3219
"ABCC8"	8.9629	9.5962	9.8313	9.5718	9.7364	10.36	9.9758	10.415	10.363	9.8978	9.1997	9.4574	10.414	9.2527	9.1447	9.0928	9.5137	9.0498	9.2808	9.4409	9.7125	8.29	8.8234	9.6812	9.8673	9.2336	8.9773	9.1497	10.518	9.5755	8.8978	10.858	10.409	9.2527	8.9159	9.5411	9.7039	9.1007	9.825	9.6742	8.9484	8.6402	9.4471	9.4471	9.5078	8.8948	9.1472
"ABL1"	7.585	8	7.5774	7.6366	8.7977	7.4838	8.3309	8.1189	8.1344	7.8948	7.7616	7.4594	7.6511	9.375	7.4838	7.6582	7.6439	8.1241	7.8704	7.6439	8.0607	9.0821	7.6653	7.5622	7.9542	8.0715	7.5774	7.375	7.7549	8.6511	9.2992	7.5314	7.9009	8.5812	8.8138	7.4512	7.7748	8.2668	8.0607	7.7879	9.3576	9.4696	7.7142	7.6582	7.9248	7.8455	7.96
"ADAMTS16"	5.0444	9.3837	4.9069	8.3487	4.3219	8.1649	5.5236	8.7004	9.3174	6.0224	4.5236	6.7682	8.4635	4.3219	4.585	7.1293	8.9189	5.2479	4.6439	7.2384	8.4221	4.3219	5.3219	8.2095	8.7381	5.4919	4.3219	7.3219	8.1749	5.6724	4.3219	8.4919	8.5622	6.0875	4.3219	8.0607	9.4778	5.585	5.0444	7.9248	6.4594	4.3219	4.5236	8.0389	8.8424	5.2479	4.8074
"ADRA2A"	6.6294	5.858	6.5078	5.3923	7.1898	5.2854	7.0875	6.8202	4.4594	7.0553	5.9307	6.9542	4.3219	4.3219	5.9307	6.5078	5.8074	6.5392	6.3576	7.7748	5.6439	6.0444	6.7549	7.4429	5.3219	7.2761	6.585	6.4757	5.6439	7.3129	7.1497	4.3219	5.4594	6.0875	7.3398	7.3576	4.3219	7.5925	6.7415	6.3398	6.5699	7.8138	6.1293	7.0444	4.3219	5.9773	6.2095
"AGO4"	7.6653	8.611	7.9009	8.1085	8.1898	8.1137	8.2761	8.3923	8.543	8.3038	7.3487	8.0389	8.2761	7.8202	7.5699	8.1497	8.4998	8.2854	7.3129	8.0389	8.4798	8.5236	7.6366	8.1137	8.3129	8.0768	7.6511	8.0715	8.2432	8.1085	7.9129	7.9366	8.2992	8.2946	8.0661	8.4179	8.1396	7.9069	8.2574	8.2946	8.1396	8.0389	7.7944	8.1749	8.6618	8.1749	7.4838
"AGT"	10.406	11.073	10.629	10.967	10.458	10.494	11.012	10.718	10.615	10.478	10.466	10.936	9.7313	10.278	9.8376	10.307	10.791	11.001	9.5999	11.226	10.725	11.807	10.296	10.826	10.908	11.111	10.422	10.96	10.463	10.276	11.457	10.795	11.034	11.436	11.67	10.69	10.57	9.7211	10.727	10.712	11.313	11.687	10.608	11.099	11.084	10.87	10.936
"AIF1"	8.1189	9.2119	7.8138	6.8202	8.0498	5.2095	7.0661	6.2288	8.9542	10.187	8.4094	7.0661	8.0607	9.9643	7.7814	6.8826	7.9069	9.1007	8.3619	7.1497	6.6439	10.274	7.8948	6.8704	8.7177	9.8345	6.9425	7.098	7.0768	9.2288	9.0928	6.9307	6.4263	8.9715	7.3398	7.375	9.014	9.6257	7.2479	6.9069	9.5333	9.5058	8.1447	6.6294	7.6073	9.3685	8.1137
"AK1"	10.398	9.9643	10.146	10.323	10.28	9.5962	9.7056	9.6092	9.6847	9.8918	10.531	10.081	9.6439	9.8918	10.693	10.531	9.9944	10.201	10.623	10.165	9.8074	10.454	10.486	10.194	9.7665	10.573	10.314	10.206	9.8186	9.9469	10.972	9.8595	9.8918	10.702	10.57	10.312	9.6812	10.132	10.014	10.081	9.9484	10.082	10.562	10.295	9.7313	10.065	10.708
"AKT1"	9.098	9.1649	9.3859	8.5469	9.7582	8.5196	9.7448	8.9915	9.0634	9.7797	8.9248	8.7177	9.1447	10.309	9.1189	8.8455	8.6724	9.1948	9.0279	8.7846	8.9396	9.7211	9.1548	8.9366	8.9801	9.3509	9.1137	8.7381	8.7549	9.5353	10.428	9.3597	9.1007	9.6073	9.8138	8.7781	8.7781	9.1824	9.4717	8.7245	9.9527	10.242	9.3219	8.7279	9.2167	9.1774	9.2574
"AKT2"	8.9009	10.014	8.96	10.036	10.05	10.397	9.3923	10.293	10.248	9.6742	9.2095	10.073	10.322	9.8074	9.0168	10.269	10.213	9.4696	8.8918	9.9174	10.304	10.036	9	10.289	10.172	9.5314	8.9425	9.9672	10.331	10.003	10.074	10.337	10.573	9.96	9.716	10.082	10.295	9.4553	9.5603	10.103	10.278	10.185	9.3174	9.8933	9.9513	9.3707	9.3197
"ALDH1L1"	8.7912	9.6257	8.8486	8.5353	9.6883	6.7549	9.4367	7.6795	9.4574	10.02	8.3663	7.7279	8.2143	9.8673	8.4635	8.4051	8.1189	9.1824	7.7142	7.4757	8.4094	10.499	8.3707	7.2384	9.2384	9.6777	8.543	8.8704	7.5314	9.7632	9.9787	7.8202	7.7211	10.189	10.557	7.9887	8.7381	8.8234	9.137	8.3923	10.385	10.43	8.633	8.0056	10.097	10.418	8.6366
"AMBRA1"	7.7415	7.7748	7.8455	8.6439	7.3129	8.1898	7.4346	7.8517	7.375	6.8455	8.1033	8.2808	7.5469	7.0112	8.1396	8.3038	8.3354	7.5546	8.1344	8.3837	7.9009	7.3129	7.9484	8.6147	8.0928	7.6582	8.1137	8.1948	7.9773	7.7004	7.0444	7.4263	8.2192	7.9542	7.3398	8.2143	8.0715	7.7347	7.9944	8.388	7.4009	7.4757	7.9658	8.5314	7.9069	7.9773	8.0607
"AMIGO2"	7.9307	6.0444	8.2854	5.0444	7.1898	4.9069	8.4919	4.3219	5.4919	7.4594	7.9425	4.4594	5.9542	7.4263	7.8009	5	5.4919	6.3219	7.2288	5.4594	4.4594	7.3923	7.3398	5	6.2288	7.5622	7.3398	5.7279	5.9307	7.6439	7.8826	5.4594	5.0875	7.1085	6.9307	5.3576	6.2288	8.0056	7.6439	5.2854	6.9887	7.4009	7.5999	5.0875	7.2946	8.0875	7.4429
"ANAPC15"	7.5925	6.1898	7.5925	6.3576	6.7142	4.8074	7.5546	6.2095	5.8329	7.098	7.6653	6.0875	5.3923	7.1799	8.1137	6.7142	5.9773	7.4094	8.0224	5.9542	5.4919	6.4429	7.5699	5.6724	5.7549	7.1997	7.4512	6.3398	5.0875	6.4919	4.3219	4.3219	5.6147	7.1497	7.3663	6.1293	5.2095	7.0224	7.3837	5.9307	6.5699	7.2668	8.0224	6.1085	5.2479	7.1898	7.9009
"ANXA1"	6.6724	6.6147	6.7814	6.2854	8.3923	5.9307	7.2946	6.1497	7.7482	8.2384	6.9542	6.5999	6.8329	9.9801	7.585	6.6582	7.1497	8.098	7.7482	7.6653	6.8074	9.5118	7.5392	5.7814	7.2946	8.5196	7.0553	7.1898	7.4429	8.7448	9.9929	7.0334	6.3398	9.1421	8.1997	6.8455	7.8009	8.7245	7.375	5.8826	9.3332	8.9039	7.1898	6.4429	9.2831	9.058	7.2668
"APC"	11.098	10.055	10.807	9.9337	11.018	9.6883	10.991	9.7781	9.9396	10.921	10.761	9.8154	10.328	10.588	10.797	10.085	9.6636	10.853	10.79	9.683	9.7482	10.577	11.054	9.5584	9.7381	11.14	10.891	9.9658	9.6312	10.58	10.321	10.09	9.9263	11.054	11.098	9.7698	9.6457	11.03	10.808	9.8424	10.311	10.455	10.831	9.6812	9.4979	10.959	10.836
"APEX1"	8.858	8.4388	8.9159	8.5157	8.2527	7.1396	9.0768	8.1898	8.3399	9.0112	9.0795	8.4263	8.0715	8.7549	9.2021	8.9039	8.5661	8.9972	9.3685	8.8138	7.9129	8.5887	9.0389	8.5507	8.1189	8.5078	8.8673	8.4346	7.5999	8.3966	8.1799	7.7944	7.8455	8.7108	8.7482	8.5392	7.9307	8.6935	8.375	8.2143	7.9887	7.8138	9.1573	8.7415	8.6221	9.1573	9.0444
"APOE"	12.482	13.459	12.533	12.601	13.149	11.081	13.103	11.89	13.506	13.522	12.241	12.314	12.536	14.858	12.634	12.921	12.739	12.931	11.899	12.069	11.752	14.565	12.36	11.647	12.738	13.385	11.784	12.724	11.902	13.257	14.25	12.428	11.872	13.479	13.232	12.278	12.862	12.243	12.782	12.427	14.393	14.468	12.664	12.009	13.375	12.907	12.608
"APP"	14.205	12.737	14.017	13.08	13.371	12.433	13.752	12.582	12.377	13.365	14.237	13.265	12.388	12.49	14.369	13.324	12.534	13.679	14.472	13.182	12.226	12.529	14.182	12.801	12.24	13.662	14.282	12.998	12.203	13.161	11.882	12.009	12.33	12.925	13.173	13.097	12.22	13.767	13.52	12.851	12.745	12.632	14.222	12.941	12.715	13.743	14.038
"ARC"	7.5699	4.9069	11.392	6.4429	8.5314	4.3219	9.4574	4.3219	5.7814	8.0498	8.8361	4.3219	5.2479	9.4325	7.9425	4.3219	4.3219	7.3576	8.7515	4.3219	4.3219	7.8704	8.4221	4.3219	4.3219	7.5314	8.2715	4.3219	4.3219	7.5236	8.6724	4.9542	4.3219	7.5999	7.0768	4.3219	4.585	7.2761	8.633	4.3219	8.4757	8.2946	8.7108	4.3219	6.7415	7.9069	8.611
"ARHGAP24"	6.5546	5.7279	6.4094	4.6439	7.0444	4.3219	6.6439	5.2095	4.6439	6.6582	6.5236	4.585	5.1293	7.4757	6.7142	4.8074	4.4594	6.7814	6.0224	4.3219	4.3219	8.1189	5.858	4.5236	5.4263	7.2668	6.1293	4.6439	4.4594	6.9189	7.8202	4.3219	4.3923	7.4757	7.2479	4.3219	4.585	6.3923	7	4.3219	7.5999	7.4009	6.4919	4.3219	5.2095	6.8455	6.7549
"ARID1A"	8	7.858	8.0768	8.2574	7.9887	8.0112	7.8826	7.4179	7.5699	7.4263	8.2621	8.4263	7.6935	8.3399	8.2143	8.2288	8.1898	7.9366	8.1497	8.3399	7.6795	8.1799	7.9715	8.1241	7.8517	7.9129	8.0112	8.1948	7.6724	8.0553	8.3399	7.7211	7.8455	8.0661	7.8517	8.0279	8.0715	7.8887	7.9773	7.8948	8.2621	8.2946	7.9542	8.1396	8.0498	8.1033	8.2715
"ASB2"	7.3219	4.3219	6.5392	4.3219	4.3219	4.3219	6.7549	4.3219	4.3219	6.2854	7.6795	4.3219	4.3219	4.3219	7.0875	4.3219	4.3219	6.2095	6.7279	4.3219	4.3219	6.4429	7.1699	4.3219	4.3219	7.2192	6.9189	4.3219	4.3219	6.4919	4.3219	4.3219	4.3219	7.0112	4.3219	4.3219	4.3219	7.0224	6.6294	4.3219	4.3219	4.3219	7.3129	4.3219	4.3219	6.0224	7.1599
"ASB7"	7.4676	7.5925	7.4263	7.3837	8.0112	7.9189	7.6511	7.7074	7.6366	7.9069	7.6366	7.8202	7.8704	8.4553	7.8455	7.6724	7.6865	7.6795	7.6073	7.5999	7.7415	7.9944	7.4009	7.7004	7.8009	7.8265	7.7682	7.7347	7.8826	7.9248	8.7912	8.1033	7.96	7.9658	7.8948	7.7482	7.6511	7.5622	7.858	7.6294	8.3576	8.2946	7.4676	7.6439	7.7879	7.4838	7.7142
